id,tissue,mes,epi,p,b vs c,c vs d,d vs b,poverall,p1,p2,p3
BTC,954.00 ,1516.00 ,2672.00 ,0.154,0.002102267,0.006295651,0.000743414,FALSE,FALSE,FALSE,TRUE
gp130,285.00 ,738.00 ,1354.00 ,0.167,3.50E-05,1.91E-05,1.32E-07,FALSE,TRUE,TRUE,TRUE
Chemerin,1117.00 ,1248.00 ,1970.00 ,0.187,0.373679126,0.002120492,0.001470284,FALSE,FALSE,FALSE,FALSE
MadCAM-1,2238.00 ,1968.00 ,2302.00 ,0.188,0.456716645,0.326884556,0.861873528,FALSE,FALSE,FALSE,FALSE
Epigen,1070.00 ,1308.00 ,1860.00 ,0.191,0.030989816,0.00137219,2.33E-05,FALSE,FALSE,FALSE,TRUE
CD30,1168.00 ,868.00 ,497.00 ,0.194,0.000873169,8.00E-05,1.01E-06,FALSE,TRUE,TRUE,TRUE
Fas,811.00 ,1119.00 ,1762.00 ,0.203,0.040001876,0.001737058,1.56E-06,FALSE,FALSE,FALSE,TRUE
MMP-3,58102.00 ,41495.00 ,102706.00 ,0.203,0.004509899,3.36E-06,4.12E-06,FALSE,FALSE,TRUE,TRUE
IL-17B R,991.00 ,1360.00 ,1896.00 ,0.204,0.022761255,0.001316475,4.44E-05,FALSE,FALSE,FALSE,TRUE
IGFBP-3,247093.00 ,58257.00 ,141429.00 ,0.209,2.91E-09,1.08E-05,5.52E-06,FALSE,TRUE,TRUE,TRUE
Artemin,520.00 ,1313.00 ,2751.00 ,0.216,3.53E-06,1.40E-06,4.41E-08,FALSE,TRUE,TRUE,TRUE
6Ckine,815.00 ,1261.00 ,2030.00 ,0.228,0.000260595,0.007082631,0.000861978,FALSE,TRUE,FALSE,TRUE
Epiregulin,1495.00 ,1289.00 ,3065.00 ,0.236,0.105815458,1.89E-06,9.43E-06,FALSE,FALSE,TRUE,TRUE
IL-28,3835.00 ,3275.00 ,5462.00 ,0.26,0.129627451,0.000794676,7.53E-05,FALSE,FALSE,TRUE,TRUE
IL-33,725.00 ,1412.00 ,2788.00 ,0.278,1.79E-05,0.000908096,9.85E-05,FALSE,TRUE,TRUE,TRUE
ANGPTL3,879.00 ,637.00 ,1218.00 ,0.279,0.062652453,0.000153167,0.028498755,FALSE,FALSE,TRUE,FALSE
HGF R,4618.00 ,4659.00 ,4022.00 ,0.28,0.915404367,0.018658004,0.197932821,FALSE,FALSE,FALSE,FALSE
TGFb1,3296.00 ,5500.00 ,8912.00 ,0.287,0.001395669,0.00029566,1.75E-06,FALSE,FALSE,TRUE,TRUE
Adiponectin,774.00 ,477.00 ,989.00 ,0.296,0.001245595,2.79E-05,0.006576095,FALSE,FALSE,TRUE,FALSE
AR,1466.00 ,1230.00 ,2447.00 ,0.3,0.198673743,0.000309054,0.000592226,FALSE,FALSE,TRUE,TRUE
TPO,1158.00 ,696.00 ,2.00 ,0.302,0.000262813,1.02E-05,2.97E-08,FALSE,TRUE,TRUE,TRUE
sFRP-3,75404.00 ,19576.00 ,55103.00 ,0.308,4.93E-07,0.000449733,0.01116429,FALSE,TRUE,TRUE,FALSE
CRP,4571.00 ,572.00 ,1150.00 ,0.331,2.83E-05,0.000178839,7.14E-05,FALSE,TRUE,TRUE,TRUE
MFG-E8,320.00 ,4060.00 ,12126.00 ,0.334,5.65E-08,0.000109397,1.18E-05,FALSE,TRUE,TRUE,TRUE
IL-20,971.00 ,718.00 ,530.00 ,0.346,0.058644232,0.111556387,0.000354024,FALSE,FALSE,FALSE,TRUE
IGFBP-2,39625.00 ,14477.00 ,41577.00 ,0.366,1.25E-06,2.46E-07,0.205784616,FALSE,TRUE,TRUE,FALSE
Meteorin,4765.00 ,2570.00 ,5805.00 ,0.369,0.001189589,0.004470962,0.2447536,FALSE,FALSE,FALSE,FALSE
CCL28,262.00 ,620.00 ,1297.00 ,0.379,0.000353072,0.005617748,0.00053756,FALSE,TRUE,FALSE,TRUE
TCK-1,20281.00 ,28055.00 ,101454.00 ,0.426,0.017396071,0.000181929,9.42E-05,FALSE,FALSE,TRUE,TRUE
VEGF R3,5597.00 ,5928.00 ,6730.00 ,0.445,0.165864729,0.118169908,0.042624362,FALSE,FALSE,FALSE,FALSE
I-TAC,427.00 ,336.00 ,217.00 ,0.449,0.002445676,0.000506373,4.49E-05,FALSE,FALSE,TRUE,TRUE
TARC,1446.00 ,672.00 ,1466.00 ,0.451,0.000342339,0.000657465,0.895695283,FALSE,TRUE,TRUE,FALSE
Persephin,501.00 ,1118.00 ,2268.00 ,0.454,0.000288185,1.50E-05,1.58E-06,FALSE,TRUE,TRUE,TRUE
TRANCE,2052.00 ,1573.00 ,2480.00 ,0.455,0.009310943,0.005066365,0.066678031,FALSE,FALSE,FALSE,FALSE
Leptin R,5527.00 ,5545.00 ,4643.00 ,0.458,0.975512198,0.152552133,0.287615351,FALSE,FALSE,FALSE,FALSE
IL-9,6697.00 ,6482.00 ,5933.00 ,0.462,0.481102442,0.172454031,0.106284294,FALSE,FALSE,FALSE,FALSE
GITR,736.00 ,568.00 ,442.00 ,0.543,0.002100625,0.000998122,0.000164489,FALSE,FALSE,TRUE,TRUE
LOX-1,486.00 ,957.00 ,1955.00 ,0.561,0.000107124,5.32E-06,7.74E-07,FALSE,TRUE,TRUE,TRUE
TECK,429.00 ,698.00 ,2202.00 ,0.564,0.000348024,3.71E-05,1.36E-05,FALSE,TRUE,TRUE,TRUE
IL-23,540.00 ,460.00 ,442.00 ,0.57,0.188345331,0.730812639,0.022255974,FALSE,FALSE,FALSE,FALSE
IL-15,2617.00 ,1650.00 ,1584.00 ,0.571,2.30E-05,0.707355071,0.000791877,FALSE,TRUE,FALSE,TRUE
Granzyme B,1774.00 ,1513.00 ,4222.00 ,0.585,0.143214853,0.00058098,0.001103394,FALSE,FALSE,TRUE,FALSE
Fetuin A,1261.00 ,1583.00 ,2727.00 ,0.586,0.065600913,6.15E-05,4.91E-05,FALSE,FALSE,TRUE,TRUE
Galectin-7,3524.00 ,1225.00 ,2667.00 ,0.586,3.13E-07,4.93E-06,1.46E-05,FALSE,TRUE,TRUE,TRUE
VEGF R1,587.00 ,665.00 ,874.00 ,0.604,0.06173578,0.074661677,0.023728009,FALSE,FALSE,FALSE,FALSE
DLL4,1293.00 ,2231.00 ,4086.00 ,0.61,0.001135771,0.001359911,0.000102644,FALSE,FALSE,FALSE,TRUE
IL-13,2572.00 ,478.00 ,1350.00 ,0.65,3.75E-05,5.32E-05,0.001026139,FALSE,TRUE,TRUE,FALSE
Lymphotactin,6024.00 ,5103.00 ,5286.00 ,0.654,0.137618583,0.692066544,0.257074348,FALSE,FALSE,FALSE,FALSE
SLAM,618.00 ,917.00 ,1640.00 ,0.659,0.007843921,2.90E-05,3.49E-06,FALSE,FALSE,TRUE,TRUE
Pro-MMP-9,527437.00 ,105991.00 ,728269.00 ,0.68,3.75E-08,2.39E-08,3.83E-05,FALSE,TRUE,TRUE,TRUE
VEGF-B,2176.00 ,1914.00 ,2998.00 ,0.682,0.030618106,0.000186618,0.002003993,FALSE,FALSE,TRUE,FALSE
VEGF R2,1257.00 ,1565.00 ,2751.00 ,0.691,0.073617396,0.000116877,5.87E-05,FALSE,FALSE,TRUE,TRUE
Shh-N,1216.00 ,1312.00 ,2082.00 ,0.699,0.436780967,0.001212111,5.75E-05,FALSE,FALSE,FALSE,TRUE
TremL1,775.00 ,946.00 ,1993.00 ,0.73,0.146464679,2.99E-05,4.31E-05,FALSE,FALSE,TRUE,TRUE
